Date,Time,Activity,Workout,Distance,Distance Unit,Duration,Course,Equipment Brand,Equipment Model,Equipment Serial,Weight,Weight Unit,Rest HR,Average HR,Max HR,Temperature,Temperature Unit,Quality,Effort,Notes
11/22/2009,2:00 PM,Run,Race,5.00,kilometers,913,,,,,,pound,,,,,F,,,"***RACE***
Race Name: Lacrosse Tack tryout
Terrain: Track (Outdoor)
Warm Up: Eagle
Race Splits: 4:53, 4:52, 4:55
Overall Place: 2nd"
11/22/2009,2:00 PM,Run,Normal,0.00,miles,0,,,,,,pound,,,,,F,,,""
04/11/2010,2:00 PM,Run,Normal,15.50,miles,0,,,,,,pound,,,,,F,,,""
04/12/2010,2:00 PM,Run,Normal,7.50,miles,0,,,,,,pound,,,,,F,,,""
04/13/2010,2:00 PM,Run,Normal,8.00,miles,0,,,,,,pound,,,,,F,,,""
04/14/2010,2:00 PM,Run,Normal,10.00,miles,0,,,,,,pound,,,,,F,,,""
04/15/2010,2:00 PM,Run,Normal,7.50,miles,0,,,,,,pound,,,,,F,,,"Upper Hixion..."
04/16/2010,2:00 PM,Run,Normal,0.00,miles,0,,,,,,pound,,,,,F,,,"Day off"
04/17/2010,2:00 PM,Run,Normal,9.00,miles,0,,,,,,pound,,,,,F,,,"Hixion"
04/18/2010,2:00 PM,Run,Normal,7.00,miles,0,,,,,,pound,,,,,F,,,"Not feeling good."
04/19/2010,2:00 PM,Run,Normal,9.00,miles,0,,,,,,pound,,,,,F,,,""
04/20/2010,2:00 PM,Run,Normal,6.00,miles,0,,,,,,pound,,,,,F,,,"Slow"
04/21/2010,2:00 PM,Run,Normal,9.50,miles,0,,,,,,pound,,,,,F,,,""
04/22/2010,2:00 PM,Run,Tempo,10.00,miles,0,,,,,,pound,,,,,F,,,"10 minute tempo..."
04/23/2010,2:00 PM,Run,Normal,0.00,miles,0,,,,,,pound,,,,,F,,,"Day off- Last one- From now on plan is running 7 days a week. starting to include morning runs; first one next monday."
04/24/2010,2:00 PM,Run,Normal,9.00,miles,0,,,,,,pound,,,,,F,,,""
04/25/2010,2:00 PM,Run,Normal,11.00,miles,0,,,,,,pound,,,,,F,,,""
04/26/2010,2:00 PM,Run,Normal,11.00,miles,0,,,,,,pound,,,,,F,,,""
04/27/2010,2:00 PM,Run,Tempo,8.00,miles,0,,,,,,pound,,,,,F,,,"7 mile tempo"
04/28/2010,2:00 PM,Run,Normal,9.00,miles,0,,,,,,pound,,,,,F,,,"Event one of Amato-Stilin Fitness Test
2.65 Mile Run
Gun goes off at 7 AM

"
04/29/2010,2:00 PM,Run,Normal,11.00,miles,0,,,,,,pound,,,,,F,,,""
04/30/2010,2:00 PM,Run,Normal,0.00,miles,0,,,,,,pound,,,,,F,,,""
05/01/2010,2:00 PM,Run,Normal,0.00,miles,0,,,,,,pound,,,,,F,,,""
05/01/2010,2:00 PM,Run,Normal,3.00,miles,0,,,,,,pound,,,,,F,,,""
05/02/2010,2:00 PM,Run,Race,26.20,miles,10320,,,,,,pound,,,,,F,,,"***RACE***
Race Name: Lacrosse Fitness Festival
Terrain: Not Specified"
05/02/2010,2:00 PM,Run,Normal,3.80,miles,2220,,,,,,pound,,,,,F,,,"Marathon-
Mile 5- 30:40
Mile 10 61:50
Pretty good hard last 6 miles-
6 30's for Maraton- 4th or 5th place."
05/03/2010,2:00 PM,Run,Normal,0.00,miles,0,,,,,,pound,,,,,F,,,""
05/04/2010,2:00 PM,Run,Normal,0.00,miles,0,,,,,,pound,,,,,F,,,""
05/05/2010,2:00 PM,Run,Normal,0.00,miles,0,,,,,,pound,,,,,F,,,""
05/06/2010,2:00 PM,Run,Normal,2.00,miles,0,,,,,,pound,,,,,F,,,"Basketball"
05/07/2010,2:00 PM,Run,Normal,2.00,miles,0,,,,,,pound,,,,,F,,,"Basketall"
05/08/2010,2:00 PM,Run,Normal,7.00,miles,0,,,,,,pound,,,,,F,,,""
05/09/2010,2:00 PM,Run,Normal,2.00,miles,0,,,,,,pound,,,,,F,,,"Basketball"
05/10/2010,2:00 PM,Run,Normal,8.00,miles,0,,,,,,pound,,,,,F,,,"Felt good, fast pace"
05/11/2010,2:00 PM,Run,Normal,0.00,miles,0,,,,,,pound,,,,,F,,,""
05/12/2010,2:00 PM,Run,Normal,0.00,miles,0,,,,,,pound,,,,,F,,,""
05/13/2010,2:00 PM,Run,Normal,8.00,miles,0,,,,,,pound,,,,,F,,,""
05/15/2010,2:00 PM,Run,Normal,7.00,miles,0,,,,,,pound,,,,,F,,,""
05/15/2010,2:00 PM,Run,Normal,0.00,miles,0,,,,,,pound,,,,,F,,,""
05/16/2010,2:00 PM,Run,Normal,7.00,miles,0,,,,,,pound,,,,,F,,,""
05/17/2010,2:00 PM,Run,Normal,9.00,miles,0,,,,,,pound,,,,,F,,,"Start of summer training. 2 miles tempo."
05/18/2010,2:00 PM,Run,Normal,0.00,miles,0,,,,,,pound,,,,,F,,,""
05/19/2010,2:00 PM,Run,Normal,7.00,miles,0,,,,,,pound,,,,,F,,,""
05/20/2010,2:00 PM,Run,Normal,0.00,miles,0,,,,,,pound,,,,,F,,,""
05/21/2010,2:00 PM,Run,Normal,9.00,miles,0,,,,,,pound,,,,,F,,,"Work out with king
"
06/14/2010,2:00 PM,Run,Normal,12.00,miles,0,,,,,,pound,,,,,F,,,"2 milesin morning for Guard fitness test 11:19.
46 pushups 58 situps (maxout) in 2 minutes.

10 miles at 6:17 average"
06/15/2010,2:00 PM,Run,Normal,13.50,miles,0,,,,,,pound,,,,,F,,,"5.5 in morning with 4 70m strides

8 in evening"
07/08/2010,10:00 AM,Run,Normal,6.00,miles,0,,,,,,pound,,,,,F,,5,"6 Miler Russell to St Ann route, 5 strides thrown in."
07/08/2010,6:00 PM,Run,Normal,8.50,miles,0,,,,,,pound,,,,,F,,8,"Bastille Race- raced my own race, not the hardest effort but faster then tempo pace. Finished the course in 15:30"
07/09/2010,10:00 AM,Run,Normal,4.00,miles,0,,,,,,pound,,,,,F,,,"Slow, with Pat B and Joe"
07/09/2010,6:00 PM,Run,Normal,8.00,miles,0,,,,,,pound,,,,,F,,7,"8 miler with Joe, 6:27 pace. The closest word would be long fatiguing."
07/10/2010,2:00 PM,Run,Normal,8.25,miles,0,,,,,,pound,,,,,F,,7,"Ran from Atwater back home- slower pace, need to get off pavement."
07/11/2010,2:00 PM,Run,Long,14.00,miles,0,,,,,,pound,,,,,F,,8,"Long run with Joe after work. pace was fast under 6:20's. Happy when in ended, but I'm sure it will make me better"
07/12/2010,2:00 PM,Run,Normal,10.00,miles,0,,,,,,pound,,,,,F,,7,"Nothing out of the ordinary run."
07/13/2010,2:00 PM,Run,Normal,8.00,miles,0,,,,,,pound,,,,,F,,,""
07/14/2010,2:00 PM,Run,Normal,0.00,miles,0,,,,,,pound,,,,,F,,,""
07/15/2010,2:00 PM,Run,Normal,16.00,miles,0,,,,,,pound,,,,,F,,,""
07/16/2010,2:00 PM,Run,Normal,7.00,miles,0,,,,,,pound,,,,,F,,,""
07/17/2010,2:00 PM,Run,Normal,7.00,miles,0,,,,,,pound,,,,,F,,,""
07/18/2010,2:00 PM,Run,Normal,15.00,miles,0,,,,,,pound,,,,,F,,,""
07/19/2010,10:00 AM,Run,Normal,6.50,miles,0,,,,,,pound,,,,,F,,5,"Easy 6.5 Tempo tonight"
07/19/2010,6:00 PM,Run,Normal,8.00,miles,0,,,,,,pound,,,,,F,,,"4.5 at 5:35 pace at MAD... with 2 mile cool down"
07/20/2010,10:00 AM,Run,Normal,7.00,miles,0,,,,,,pound,,,,,F,,,"With perry, slower pace"
07/20/2010,6:00 PM,Run,Normal,9.00,miles,0,,,,,,pound,,,,,F,,,"Good pace"
