Date,Time,Activity,Workout,Distance,Distance Unit,Duration,Course,Equipment Brand,Equipment Model,Equipment Serial,Weight,Weight Unit,Rest HR,Average HR,Max HR,Temperature,Temperature Unit,Quality,Effort,Notes
05/21/2008,2:00 PM,Cross Training,Normal,0.00,miles,0,,,,,,pound,,,,,F,,,"

Cross Training Comments:
35 minutes on bike in the Rec. Alternate 1 min hard, 1 min easy. Would've gone longer but had to go see trainer. Going to see Doctor Stephens tomorrow about leg again."
05/22/2008,2:00 PM,Cross Training,Normal,8.00,miles,2100,,,,,,pound,,,,,F,,,"

Cross Training Comments:
35 min ride. Interrupted by flat tire on my first ride on my new bike at 17 min. Took 40 minutes to fix. Some guy name Julio came and saved me. Rode 17 back."
05/23/2008,8:00 PM,Cross Training,Normal,12.00,miles,2100,,,,,,pound,,,,,F,,,"

Cross Training Comments:
Got dark fast, so I squeezed this ride in before I went home."
05/24/2008,6:00 PM,Cross Training,Normal,23.00,miles,4620,,,,,,pound,,,,,F,,6,"

Cross Training Comments:
Rode from my house to Laura's house in Bethel and back. Took a 30 min break at her house."
05/25/2008,2:00 PM,Cross Training,Normal,10.00,miles,2100,,,,,,pound,,,,,F,,6,"

Cross Training Comments:
A little sore from yesterday's ride."
05/26/2008,2:00 PM,Cross Training,Normal,0.00,miles,0,,,,,,pound,,,,,F,,5,"Bike at Rec. Sit-up and push-up routine afterwards."
05/27/2008,8:00 PM,Cross Training,Normal,0.00,miles,0,,,,,,pound,,,,,F,,7,"

Cross Training Comments:
Rode on trainer inside real late. Sit-up and push-up routine afterwards."
05/28/2008,2:00 PM,Run,Aqua Jogging,0.00,miles,0,,,,,,pound,,,,,F,,4,"20 minutes on underwater treadmill with water level at my waist (not hips). 

16x (30 seconds on, 20 seconds off) against jets"
05/29/2008,2:00 PM,Cross Training,Normal,20.00,miles,3811,,,,,,pound,,,,,F,,7,"To Lunken Airport, two loops on the bike trail, and then back. Felt pretty good. Starting to get used to the biking concept, but really looking forward to getting back to running. I think I will begin to run again after I see Doctor Kenter on June 9th. Hopefully he will give me something I want to hear on my birthday.

Cross Training Comments:
Sit-up and push-up routine afterwards."
05/30/2008,2:00 PM,Cross Training,Normal,11.30,miles,2317,,,,,,pound,,,,,F,,7,"Rode from UC to Anderson for doctor's appointment (since I missed the darn bus)."
05/30/2008,2:00 PM,Cross Training,Normal,14.00,miles,2981,,,,,,pound,,,,,F,,8,"Rode from Anderson to house in New Richmond after 1 hour break for the doctor's appointment. A little hot out, but a good ride."
06/01/2008,6:00 PM,Cross Training,Normal,23.60,miles,4395,,,,,,pound,,,,,F,,5,"Went from house in New Richmond back to UC. Averaged 20.5 mph for the first 20.5 miles (took exactly an hour), then hit the huge 3.1 mile uphill stretch to UC and my final average was 19.3 mph. Felt really good today. Nice weather since I waited until late to ride."
06/02/2008,2:00 PM,Cross Training,Normal,17.60,miles,3506,,,,,,pound,,,,,F,,8,"Rode from UC to Marriemont and back. Took MLK/Madison all the way out. Bad idea to start the ride at 4:45 due to rush hour. I really should try to avoid that in the future when I decide to ride on busy roads. It was a mess avoiding cars--and the last thing I need is another accident. I'll probably stick to much less busy roads in the future. 

Good workout interval workout though due to all the stoplights and hills. Got me breathing real hard and heart rate probably up to the 190s or 200s at times.

Cross Training Comments:
Sit up/Push up routine"
06/17/2008,2:00 PM,Run,Normal,3.20,miles,1305,,,,,,pound,,,,,F,,,"First day here in Boulder training at altitude. Went for an easy run on a trail that follows the creek that runs through town. Absolutely no pain with my leg. Pretty happy about that. I think for the first 2 weeks I'll do 3 days a week of training. Then go to 4 days, etc... 

Felt pretty out of breath though after 3.2. Must be a combination of me not being in running shape at all and the altitude. I keep having this dry cough. I've been trying to take in a lot of water though to compensate. So far so good."
06/18/2008,10:00 AM,Cross Training,Normal,20.40,miles,4354,,,,,,pound,,,,,F,,7,"Biked out diagonal highway and back. Got sort of lost on the way back. Pretty worn out after ride. Quads are especially feeling it."
06/19/2008,2:00 PM,Run,Normal,3.00,miles,1311,,,,,,pound,,,,,F,,8,"Ran up to Chaqueta Park, up a trail, and then back. All uphill going out, all downhill coming back. I've heard that day 3 is the hardest in altitude. I'm not sure if it's the hardest, but I can vouch that I was breathing way harder than normal and going slower. Part of it was because the first half was uphill though. Tibia has been feeling great so far. Hopefully this keeps up.

"
06/20/2008,2:00 PM,Cross Training,Normal,10.00,miles,2498,,,,,,pound,,,,,F,,,"Biked up Flagstaff Mountain (2500 ft). Going up the first 1.5 miles was the hardest. After that, it got easier until right before the summit. Took me 28:38 to get up 5 miles averaging 10.4 m.p.h. Then coming down I was just cruising. Took me 13 minutes even to come back down. Averaged 23.4 m.p.h. Maxed out at 38.1. I really wanted to hit 40, but a car was in front of me slowing me down, haha. Felt great though today!"
06/21/2008,2:00 PM,Run,Normal,3.40,miles,1326,,,,,,pound,,,,,F,,,"Ran up Broadway to Boulder Creek Path, and then back through campus. Starting to feel better in this altitude, but I'm still finishing real out of breath."
06/22/2008,2:00 PM,Cross Training,Normal,18.40,miles,4833,,,,,,pound,,,,,F,,7,"Up and down Flagstaff Mountain twice. Felt pretty good overall, but second time up was pretty strenuous. Averaged 13.7 and max was 34.9."
06/23/2008,2:00 PM,Run,Normal,3.60,miles,1551,,,,,,pound,,,,,F,,8,"Out and back up a trail at Chautauqua Park and back. All uphill on the way out. Altitude still getting to me. But at least leg is feeling good."
06/24/2008,2:00 PM,Cross Training,Normal,30.50,miles,5731,,,,,,pound,,,,,F,,5,"Up route 36, then a right towards Longmont (out and back). Felt pretty good. Nice long ride today with some moderate hills. Averaged 19.2 and maxed at 35.7."
06/25/2008,6:00 PM,Run,Normal,4.00,miles,1566,,,,,,pound,,,,,F,,4,"Down Broadway, then to Pearl, and back up 17th with Dragan and Bill. Felt really good. Nice night run right after they got here. Leg has been feeling great--no problems."
06/26/2008,6:00 PM,Cross Training,Normal,12.00,miles,3906,,,,,,pound,,,,,F,,8,"Up Flagstaff and then farther up to the top of Green Mountain (I think is the name?). Went to where the Boulder Open Space park ends. Crazy steep after the top of Flagstaff. Very hard, and pretty scary coming down. Averaged about 11.4 mph and maxed at 40.7!"
06/27/2008,10:00 AM,Run,Normal,4.00,miles,1592,,,,,,pound,,,,,F,,4,"Out and back with Kyle and Bill on the Boulder Creek Path. Felt pretty good."
06/28/2008,10:00 AM,Cross Training,Normal,20.20,miles,3722,,,,,,pound,,,,,F,,5,"Early morning ride out and back on 36 going north. Felt pretty good. Chilly out."
06/29/2008,10:00 AM,Run,Normal,4.00,miles,1681,,,,,,pound,,,,,F,,6,"Down Folsom and on Boulder Creek Path headed west to Arapahoe bridge and back. Felt really good going out (b/c it's downhill) and a little harder coming back. Out in 13 and back in 15. Waaay positive split."
06/30/2008,2:00 PM,Cross Training,Normal,12.80,miles,3710,,,,,,pound,,,,,F,,9,"12.4 avg, 39.5 max. Up and past Flagstaff to where Boulder Open Space stops. Felt pretty tired today. Legs just plain tired and not feeling very good. I'm getting more confident with coming down the mountain faster though. Still being careful of course!"
07/01/2008,2:00 PM,Run,Normal,4.00,miles,1556,,,,,,pound,,,,,F,,6,"Out and back with Dragan and Bill. Leg feels good still, but I couldn't get in a rhythm this morning and my breathing was all off. Negative split coming back uphill. Out in 13:10 and back in 12:46. Maybe a little too fast."
