Date,Time,Activity,Workout,Distance,Distance Unit,Duration,Course,Equipment Brand,Equipment Model,Equipment Serial,Weight,Weight Unit,Rest HR,Average HR,Max HR,Temperature,Temperature Unit,Quality,Effort,Notes
05/03/2011,10:00 AM,Run,Normal,500.00,miles,0,,,,,,pound,,,,,F,,,"Adding miles from previous log into running2win (2100 miles total 2011 YTD)."
05/04/2011,2:00 PM,Run,Normal,500.00,miles,0,,,,,,pound,,,,,F,,,"Adding miles from previous log into running2win (2100 miles total 2011 YTD)."
05/05/2011,2:00 PM,Run,Normal,500.00,miles,0,,,,,,pound,,,,,F,,,"Adding miles from previous log into running2win (2100 miles total 2011 YTD)."
05/06/2011,2:00 PM,Run,Normal,500.00,miles,0,,,,,,pound,,,,,F,,,"Adding miles from previous log into running2win (2100 miles total 2011 YTD)."
05/07/2011,2:00 PM,Run,Normal,100.00,miles,0,,,,,,pound,,,,,F,,,"Adding miles from previous log into running2win (2100 miles total 2011 YTD)."
06/25/2011,10:00 AM,Run,Normal,12.00,miles,4860,,,,,,pound,,,,,F,,,""
06/26/2011,10:00 AM,Run,Normal,8.00,miles,3360,,,,,,pound,,,,,F,,,""
06/26/2011,6:00 PM,Run,Normal,5.00,miles,2100,,,,,,pound,,,,,F,,,""
06/27/2011,10:00 AM,Run,Normal,10.00,miles,4080,,,,,,pound,,,,,F,,,""
06/27/2011,6:00 PM,Run,Normal,5.00,miles,2040,,,,,,pound,,,,,F,,,""
06/28/2011,10:00 AM,Run,Normal,10.00,miles,4140,,,,,,pound,,,,,F,,,""
06/28/2011,2:00 PM,Run,Normal,5.00,miles,2040,,,,,,pound,,,,,F,,,""
06/29/2011,10:00 AM,Run,Normal,10.00,miles,4042,,,,,,pound,,,,,F,,,""
06/30/2011,10:00 AM,Run,Normal,10.00,miles,4080,,,,,,pound,,,,,F,,,""
07/01/2011,10:00 AM,Run,Normal,10.00,miles,4072,,,,,,pound,,,,,F,,,""
07/02/2011,2:00 PM,Run,Normal,4.00,miles,1680,,,,,,pound,,,,,F,,,"Shakeout run before the evening's race."
07/02/2011,6:00 PM,Run,Race,8.00,kilometers,1559,,,,,,pound,,,,,F,,,"***RACE***
Race Name: Otter Tail Lake Chase
Terrain: Not Specified

I usually don't race this early into a cycle (1 week), but I was back home and at my parents' cabin so I decided to participate. Good to see some familiar faces. "
07/02/2011,6:00 PM,Run,Normal,4.03,miles,1681,,,,,,pound,,,,,F,,,""
07/03/2011,10:00 AM,Run,Normal,10.00,miles,4080,,,,,,pound,,,,,F,,,""
07/03/2011,6:00 PM,Run,Normal,6.00,miles,2400,,,,,,pound,,,,,F,,,""
07/04/2011,10:00 AM,Run,Normal,16.00,miles,6334,,,,,,pound,,,,,F,,,"Under the hot sun in Fargo. 
First mile was my slowest (7:05), and my last mile was my fastest (6:14); a good long run."
07/05/2011,10:00 AM,Run,Normal,11.00,miles,4410,,,,,,pound,,,,,F,,,"In Detroit Lakes."
07/05/2011,6:00 PM,Run,Normal,5.00,miles,2040,,,,,,pound,,,,,F,,,""
07/06/2011,10:00 AM,Run,Normal,12.00,miles,4776,,,,,,pound,,,,,F,,,"In Fargo. A very nice morning for running."
07/06/2011,6:00 PM,Run,Normal,5.00,miles,2040,,,,,,pound,,,,,F,,,""
07/07/2011,10:00 AM,Run,Normal,9.00,miles,3617,,,,,,pound,,,,,F,,,""
07/07/2011,2:00 PM,Run,Normal,6.00,miles,2333,,,,,,pound,,,,,F,,,"Around the Bay with Hooley."
07/08/2011,10:00 AM,Run,Normal,10.00,miles,4004,,,,,,pound,,,,,F,,,"East side loop with Hooley."
07/08/2011,6:00 PM,Run,Normal,7.00,miles,2640,,,,,,pound,,,,,F,,,"A couple of miles at 5:10 pace."
07/09/2011,10:00 AM,Run,Normal,13.00,miles,5152,,,,,,pound,,,,,F,,,"Out to picnic point with Hooley. Hot and humid already. Probably only doing the 1 run today, as I am off camping."
07/10/2011,10:00 AM,Run,Normal,10.00,miles,4200,,,,,,pound,,,,,F,,,"A great run on the trails at Kettle Moraine State Park."
07/10/2011,6:00 PM,Run,Normal,7.00,miles,2940,,,,,,pound,,,,90,F,,,"Into Maple Bluff with Christian and Hooley. Hot and humid."
07/11/2011,10:00 AM,Run,Normal,5.14,miles,2020,,,,,,pound,,,,,F,,,"Plan was to do 10x1 min. on, 1 min. off, but I unexpectedly got caught out in the open during a thunderstorm and had to seek shelter. I got pretty chilled waiting for the storm to pass, and eventually just ran home in the storm and called it a morning."
07/11/2011,8:00 PM,Run,Normal,10.00,miles,3870,,,,,,pound,,,,,F,,,"WIth Hooley and Jack through the arb to the SW bike path and then back to Park St."
07/12/2011,10:00 AM,Run,Normal,10.00,miles,4170,,,,,,pound,,,,,F,,,""
07/12/2011,8:00 PM,Run,Normal,5.00,miles,2010,,,,,,pound,,,,,F,,,""
07/13/2011,10:00 AM,Run,Normal,8.00,miles,3300,,,,,,pound,,,,,F,,,"A couple of strides at the end."
07/13/2011,6:00 PM,Run,Normal,5.00,miles,2040,,,,,,pound,,,,,F,,,"WIth Jack and Hooley."
07/14/2011,10:00 AM,Run,Normal,4.00,miles,1680,,,,,,pound,,,,,F,,,"Shakeout run for this evening's race (Full Moon 5k)."
07/14/2011,6:00 PM,Run,Race,5.00,kilometers,928,,,,,,pound,,,,,F,,,"***RACE***
Race Name: Full Moon 5k
Terrain: Not Specified
Overall Place: 1

4:59, 10:03, 15:28 at the finish "
07/14/2011,6:00 PM,Run,Normal,4.89,miles,2072,,,,,,pound,,,,72,F,,,""
07/15/2011,10:00 AM,Run,Normal,12.00,miles,4752,,,,,,pound,,,,,F,,,"With Jack."
07/16/2011,10:00 AM,Run,Normal,18.00,miles,6951,,,,,,pound,,,,,F,,,"Hot and humid long run with Jack. Headed through the arb, up Seminole Highway, jumped on the Cap. City trail and took that back to the east side. First mile was 7:06, last was 5:56."
07/17/2011,10:00 AM,Run,Normal,11.00,miles,4500,,,,,,pound,,,,,F,,,"Very hot and humid run with Jack, Christian, and Cory."
07/17/2011,6:00 PM,Run,Normal,6.00,miles,2520,,,,,,pound,,,,,F,,,"Heat index of 104 at the time of the run; with Jack."
07/18/2011,10:00 AM,Run,Normal,10.00,miles,4093,,,,,,pound,,,,,F,,,""
