Date,Time,Activity,Workout,Distance,Distance Unit,Duration,Course,Equipment Brand,Equipment Model,Equipment Serial,Weight,Weight Unit,Rest HR,Average HR,Max HR,Temperature,Temperature Unit,Quality,Effort,Notes
08/25/2007,2:00 PM,Run,Normal,10.00,miles,0,,,,,,pound,,,,,F,,,"First day of camp at Sampson's cabin. I wasn't in very good shape since because of severe over training during my freshman year I wasn't able to really start summer training until late July."
08/26/2007,10:00 AM,Run,Normal,10.00,miles,0,,,,,,pound,,,,,F,,,""
08/27/2007,10:00 AM,Run,Normal,13.00,miles,0,,,,,,pound,,,,,F,,,"We drove into Hayward and ran on the Birkie trail."
08/28/2007,10:00 AM,Run,Normal,9.00,miles,0,,,,,,pound,,,,,F,,,""
08/28/2007,2:00 PM,Run,Normal,5.00,miles,0,,,,,,pound,,,,,F,,,""
08/29/2007,10:00 AM,Run,Tempo,8.00,miles,0,,,,,,pound,,,,,F,,,"Attempted a progression run with the team. We sped up too fast and I got dropped, so in order to get something out of it I slowed down for another mile or so and then picked it up more gradually after the turn around. Hit 15 minutes of 5:40-5:50 pace on the way back."
08/29/2007,2:00 PM,Run,Normal,4.00,miles,0,,,,,,pound,,,,,F,,,""
08/30/2007,10:00 AM,Run,Normal,6.00,miles,0,,,,,,pound,,,,,F,,,"Last run of camp before heading back to campus."
08/31/2007,10:00 AM,Run,Interval,8.00,miles,0,,,,,,pound,,,,,F,,,"***INTERVAL***
Warm-up: 
Set...Reps...Distance/Time...Goal...Actual...Rep rest...Set rest
1.........16.....400 Meters....____....80....100m jog....____
Cool-down: 

Thunder's annual 'as sure as death and taxes' 20 x 400 workout. I knew going in that since I wasn't in good shape I wasn't likely to finish it so my goal was to get 15. 16 ended up being where I pulled the plug. Logging this in 2013 it's crazy to think that this workout was hard. Now it's basically my goal marathon pace."
09/01/2007,10:00 AM,Run,Tempo,7.00,miles,0,,,,,,pound,,,,,F,,,"Alumni 5K. The alums won, for probably the last time ever. I ran in no man's land for almost the entire thing and it was pretty much a tempo rather than a race. Ran 17:50 and got 4th on the team and 8th overall. I took a wrong turn in the last half mile which probably cost me about 10 seconds."
09/01/2007,6:00 PM,Run,Normal,3.00,miles,0,,,,,,pound,,,,,F,,,""
09/02/2007,2:00 PM,Run,Normal,13.00,miles,0,,,,,,pound,,,,,F,,,"Ran with Krahulec and Forsberg in the arbs. I was totally dead at the end."
09/03/2007,10:00 AM,Run,Normal,9.50,miles,0,,,,,,pound,,,,,F,,,""
09/03/2007,2:00 PM,Run,Normal,3.50,miles,0,,,,,,pound,,,,,F,,,""
09/04/2007,10:00 AM,Run,Normal,10.00,miles,0,,,,,,pound,,,,,F,,,""
09/04/2007,2:00 PM,Run,Normal,4.50,miles,0,,,,,,pound,,,,,F,,,"First cross campus of the year, and also the first practice of the season that the new freshmen attended. Pez was worried that all we ever did was dick around."
09/05/2007,2:00 PM,Run,Tempo,10.00,miles,0,,,,,,pound,,,,,F,,,"7 mile progression run. It was something like 90 degrees out.

6:55, 6:23, 6:27, 5:33 (short), 5:52, 6:00 (uphill), 5:49"
09/06/2007,10:00 AM,Run,Normal,4.00,miles,0,,,,,,pound,,,,,F,,,""
09/06/2007,2:00 PM,Run,Normal,7.00,miles,0,,,,,,pound,,,,,F,,,""
09/06/2007,8:00 PM,Run,Normal,1.00,miles,0,,,,,,pound,,,,,F,,,"Streaked the outdoor movie"
09/07/2007,2:00 PM,Run,Normal,12.00,miles,0,,,,,,pound,,,,,F,,,"At the start of the run we did the 'Last Beer'. At this point in my life I had never had a beer so I drank a lemonade."
09/08/2007,10:00 AM,Run,Hill,8.00,miles,0,,,,,,pound,,,,,F,,,"5 x Thorson
5 x Old Main
3 x 4th Mile"
09/09/2007,8:00 PM,Run,Normal,8.00,miles,0,,,,,,pound,,,,,F,,,"Ran Ostrich at night by myself"
09/10/2007,2:00 PM,Run,Tempo,11.50,miles,0,,,,,,pound,,,,,F,,,"9 mile progression run
Last 5 miles: 5:45, 5:50, 5:50, 5:58, 6:00

I was hitting the wall a bit the last 2 miles and watched the rest of the varsity guys run away from me."
09/11/2007,2:00 PM,Run,Normal,10.00,miles,0,,,,,,pound,,,,,F,,,"Skipped the mile repeats because I wasn't in shape for back to back workouts yet."
09/12/2007,10:00 AM,Run,Hill,6.00,miles,0,,,,,,pound,,,,,F,,,"7 x Thorson"
09/12/2007,2:00 PM,Run,Normal,4.50,miles,0,,,,,,pound,,,,,F,,,""
09/13/2007,2:00 PM,Run,Normal,8.50,miles,0,,,,,,pound,,,,,F,,,""
09/14/2007,2:00 PM,Run,Normal,6.50,miles,0,,,,,,pound,,,,,F,,,""
09/15/2007,10:00 AM,Run,Race,8.00,kilometers,1705,,,,,,pound,,,,,F,,,"***RACE***
Race Name: St Olaf Invite
Terrain: X-Country
Warm Up: 3
Cool Down: 2
Overall Place: 141st
Age Place: 9th on team

I wasn't quite ready to race fitness-wise but since the meet was loaded (everybody came to see the course for nationals) I didn't want to miss out on it. Woke up feeling a little sick. Rivers, Tim, Schwock, and I ran most of the race within shouting distance of each other, then those guys got away from me on the fourth mile. Adrian got me with about 1000 to go, but Schwock came back and I passed him in the last straight."
09/15/2007,10:00 AM,Run,Normal,5.03,miles,0,,,,,,pound,,,,,F,,,""
09/16/2007,12:00 PM,Rest,Normal,0.00,miles,0,,,,,,pound,,,,,F,,,"Sick"
09/17/2007,2:00 PM,Run,Normal,8.50,miles,0,,,,,,pound,,,,,F,,,"Ran with Group X for their threshold run, which was basically just a normal run for me. Started antibiotics for my sinus infection this evening."
09/18/2007,2:00 PM,Run,Tempo,10.50,miles,0,,,,,,pound,,,,,F,,,"13 min, 7 min, 5 min @ tempo pace
4 x 30 seconds faster

Did this by myself on the Jefferson loop rather than running mile repeats with the team."
09/19/2007,2:00 PM,Cross Training,Normal,0.00,miles,0,,,,,,pound,,,,,F,,,"Biked 35 minutes. I figured I wasn't going to gain any aerobic benefit from a 5 mile run so in order to try to get healthy faster I would just give the lungs a complete day off and get the blood flowing by biking easy."
09/20/2007,2:00 PM,Run,Normal,6.00,miles,0,,,,,,pound,,,,,F,,,""
09/21/2007,2:00 PM,Run,Race,8.00,kilometers,1687,,,,,,pound,,,,,F,,,"***RACE***
Race Name: Blugold Invite
Terrain: X-Country
Warm Up: 1.5 shakeout, 3 before race
Cool Down: 2
Overall Place: 73rd
Age Place: 6th on team

Good race considering I was sick all week and still felt bad the day of. Worked really hard and was dead afterward."
09/21/2007,2:00 PM,Run,Normal,6.53,miles,0,,,,,,pound,,,,,F,,,""
09/22/2007,10:00 AM,Run,Normal,13.00,miles,0,,,,,,pound,,,,,F,,,""
09/23/2007,10:00 AM,Run,Normal,4.00,miles,0,,,,,,pound,,,,,F,,,""
09/23/2007,2:00 PM,Run,Normal,7.00,miles,0,,,,,,pound,,,,,F,,,""
09/24/2007,2:00 PM,Run,Tempo,10.00,miles,0,,,,,,pound,,,,,F,,,"7 mile progression run
43:18 total time, last two miles were 6:03 (uphill), 6:00

Must have still been feeling some effects of the sinus infection."
09/25/2007,2:00 PM,Run,Interval,12.00,miles,0,,,,,,pound,,,,,F,,,"***INTERVAL***
Warm-up: 
Set...Reps...Distance/Time...Goal...Actual...Rep rest...Set rest
1.........5.....1 Mile....____....5:29, 5:39, 5:36, 5:23, 5:30....4:00 (some jogging)....____
Cool-down: 

"
09/26/2007,10:00 AM,Run,Normal,6.50,miles,0,,,,,,pound,,,,,F,,,""
09/26/2007,2:00 PM,Run,Normal,4.50,miles,0,,,,,,pound,,,,,F,,,""
09/27/2007,10:00 AM,Run,Normal,3.50,miles,0,,,,,,pound,,,,,F,,,""
09/27/2007,2:00 PM,Run,Hill,9.00,miles,0,,,,,,pound,,,,,F,,,"5 x Thorson
5 x Old Main
1 x Norway Valley
2 x 4th Mile"
09/28/2007,2:00 PM,Run,Normal,14.00,miles,0,,,,,,pound,,,,,F,,,""
09/29/2007,2:00 PM,Run,Normal,6.00,miles,0,,,,,,pound,,,,,F,,,""
09/30/2007,6:00 PM,Run,Normal,6.00,miles,0,,,,,,pound,,,,,F,,,"Was at the Packers/Vikings game and saw Favre break the career passing TDs record."
10/01/2007,2:00 PM,Run,Tempo,10.50,miles,0,,,,,,pound,,,,,F,,,"7 mile progression run
Last 3 miles: 5:27, 5:50 (uphill), 5:30

Some of us got cut off by a train and separated from the group. Krahulec and I ran together."
10/02/2007,10:00 AM,Run,Normal,3.50,miles,0,,,,,,pound,,,,,F,,,""
10/02/2007,2:00 PM,Run,Interval,9.00,miles,0,,,,,,pound,,,,,F,,,"***INTERVAL***
Warm-up: 
Set...Reps...Distance/Time...Goal...Actual...Rep rest...Set rest
1.........5.....1 Mile....____....5:36, 5:37, 5:44, 5:31, 5:35....4:00 (some jogging)....____
Cool-down: 

Raining and cold. Not a fun workout."
10/03/2007,10:00 AM,Run,Normal,5.00,miles,0,,,,,,pound,,,,,F,,,""
10/03/2007,2:00 PM,Run,Normal,4.50,miles,0,,,,,,pound,,,,,F,,,""
10/04/2007,2:00 PM,Run,Normal,10.00,miles,0,,,,,,pound,,,,,F,,,""
10/05/2007,2:00 PM,Run,Normal,6.00,miles,0,,,,,,pound,,,,,F,,,""
10/06/2007,2:00 PM,Run,Race,8.00,kilometers,1755,,,,,,pound,,,,,F,,,"***RACE***
Race Name: Pre Nationals
Terrain: X-Country
Warm Up: 1 at 7 AM, 3 before race
Cool Down: 2
Overall Place: 55th
Age Place: 5th on team

It was 80 degrees and super humid, so this was miserable. Lots of guys dropped out and some had to go to the hospital. Cullen and I struggled together the last couple miles. Slowest time of my college career."
10/06/2007,2:00 PM,Run,Normal,6.03,miles,0,,,,,,pound,,,,,F,,,""
10/07/2007,2:00 PM,Run,Normal,12.00,miles,0,,,,,,pound,,,,,F,,,""
10/08/2007,2:00 PM,Run,Tempo,11.50,miles,0,,,,,,pound,,,,,F,,,"9 mile progression run
53:47 total time, last 3 miles were 6:00, 5:50, 5:57

Got dropped the last two miles and after this decided that for the rest of the season I would stick to the 7 mile route on Mondays."
10/09/2007,2:00 PM,Run,Interval,9.00,miles,0,,,,,,pound,,,,,F,,,"***INTERVAL***
Warm-up: 
Set...Reps...Distance/Time...Goal...Actual...Rep rest...Set rest
1.........6.....1000 Meters....____....3:17, 3:15, 3:15, 3:14, 3:14, 3:14....____....____
Cool-down: 

"
10/10/2007,2:00 PM,Run,Normal,7.00,miles,0,,,,,,pound,,,,,F,,,""
10/11/2007,2:00 PM,Run,Normal,10.00,miles,0,,,,,,pound,,,,,F,,,"Ran with Cullen and Krahulec. After the run I told those guys, 'I feel like I'm finally starting to get in shape.'"
10/12/2007,12:00 PM,Run,Normal,5.50,miles,0,,,,,,pound,,,,,F,,,"Jon Chang came to practice drunk and ran straight into 'the sign' at Carleton."
10/13/2007,12:00 PM,Run,Race,11.00,miles,0,,,,,,pound,,,,,F,,,""
10/14/2007,12:00 PM,Run,Normal,7.00,miles,0,,,,,,pound,,,,,F,,,""
10/14/2007,12:00 PM,Run,Normal,4.00,miles,0,,,,,,pound,,,,,F,,,""
10/15/2007,12:00 PM,Run,Tempo,10.00,miles,0,,,,,,pound,,,,,F,,,"20 min tempo
4 min rest
15 min tempo
4 x 200m strides

Since I was in Appleton for fall break I did something different than the normal Monday progression run.  This workout felt really good."
10/16/2007,12:00 PM,Run,Normal,11.00,miles,0,,,,,,pound,,,,,F,,,""
10/17/2007,12:00 PM,Run,Normal,7.00,miles,0,,,,,,pound,,,,,F,,,""
10/18/2007,12:00 PM,Run,Normal,3.50,miles,0,,,,,,pound,,,,,F,,,""
10/18/2007,12:00 PM,Run,Interval,9.50,miles,0,,,,,,pound,,,,,F,,,"This went much better than the August 20x400 workout.  I kept the reins in pretty tight the last 5 or 6 when the other varsity guys started hammering.  Last year after hammering this workout my legs never came back the rest of the season."
10/19/2007,12:00 PM,Run,Normal,8.00,miles,0,,,,,,pound,,,,,F,,,""
10/20/2007,12:00 PM,Run,Hill,7.00,miles,0,,,,,,pound,,,,,F,,,"5 x Old Main
4 x Thorson"
10/21/2007,12:00 PM,Run,Normal,12.00,miles,0,,,,,,pound,,,,,F,,,""
10/22/2007,12:00 PM,Run,Tempo,9.50,miles,0,,,,,,pound,,,,,F,,,"7 mile progression run.  5:50 last mile."
10/23/2007,12:00 PM,Run,Interval,8.00,miles,0,,,,,,pound,,,,,F,,,"Easy 400s workout on the track.  A bunch of guys raced the last one and I think I was the last person on the team to cross the line because I didn't want any part of that.  Felt really good and ready for conference."
10/24/2007,12:00 PM,Run,Normal,7.00,miles,0,,,,,,pound,,,,,F,,,""
10/25/2007,12:00 PM,Run,Normal,9.50,miles,0,,,,,,pound,,,,,F,,,"Ran Cornhole by myself before Green Monster."
10/26/2007,12:00 PM,Run,Normal,5.50,miles,0,,,,,,pound,,,,,F,,,""
10/27/2007,12:00 PM,Run,Race,11.50,miles,0,,,,,,pound,,,,,F,,,""
10/28/2007,12:00 PM,Run,Normal,12.00,miles,0,,,,,,pound,,,,,F,,,""
10/29/2007,12:00 PM,Run,Tempo,9.50,miles,0,,,,,,pound,,,,,F,,,"7 mile progression run
Last 3 miles: 5:40 (slightly short), 5:58 (uphill), 5:50

The other guys I was running with turned off at 5 to do 9 and despite their yells for me to join them I continued on the 7 mile route."
10/30/2007,12:00 PM,Run,Normal,3.50,miles,0,,,,,,pound,,,,,F,,,""
10/30/2007,12:00 PM,Run,Interval,9.00,miles,0,,,,,,pound,,,,,F,,,"With Sampson's help I convinced Thunder to do this instead of doing 5 x 1000 at  3K-5K pace.  I felt really good through 7 and even the last 3 weren't too bad.  Thunder got Cullen and Green riled up towards the end and they ran something like 2:11 on the last one."
10/31/2007,12:00 PM,Run,Normal,3.50,miles,0,,,,,,pound,,,,,F,,,""
10/31/2007,12:00 PM,Run,Normal,4.50,miles,0,,,,,,pound,,,,,F,,,"Ran early with Green so that we could go watch the Olaf v Carleton soccer game during practice time.  The game was sweet; a nail biting 1-0 upset win for the Oles to end the Carls' season and send our team to the MIAC final."
11/01/2007,12:00 PM,Run,Normal,10.00,miles,0,,,,,,pound,,,,,F,,,"Ran by myself before Karhu.  The Carls were heavily favored based on the MIAC results but our boys went out and kicked their butts.  Chris, Krahulec, and Adrian dictated the race right from the start and by halfway it was over.  Really inspiring race to witness and I still believe it was the turning point for our program."
11/02/2007,12:00 PM,Run,Hill,8.00,miles,0,,,,,,pound,,,,,F,,,"6 x Thorson
2 x Norway Valley

This was easy.  I was really glad we didn't do 20 x 400 again."
11/03/2007,12:00 PM,Run,Normal,6.00,miles,0,,,,,,pound,,,,,F,,,"Woke up early to watch the Marathon Trials, then ran afterward.  Felt inspired."
11/04/2007,12:00 PM,Run,Normal,11.00,miles,0,,,,,,pound,,,,,F,,,""
