Date,Time,Activity,Workout,Distance,Distance Unit,Duration,Course,Equipment Brand,Equipment Model,Equipment Serial,Weight,Weight Unit,Rest HR,Average HR,Max HR,Temperature,Temperature Unit,Quality,Effort,Notes
05/20/2008,2:00 PM,Run,Normal,5.50,miles,2212,,,Wave precision (blue),,,pound,,,,,F,,,""
05/21/2008,2:00 PM,Run,Normal,5.75,miles,2310,,,,,,pound,,,,,F,,,""
05/23/2008,8:00 PM,Run,Normal,4.50,miles,1870,,,Wave precision (blue),,,pound,,,,,F,,,""
05/24/2008,10:00 AM,Run,Normal,5.50,miles,2280,,,Wave precision (blue),,,pound,,,,,F,,,""
05/26/2008,2:00 PM,Run,Normal,6.00,miles,2513,,,Wave precision (blue),,,pound,,,,,F,,,""
05/27/2008,2:00 PM,Run,Normal,6.50,miles,2749,,,Wave precision (blue),,,pound,,,,,F,,,""
05/28/2008,10:00 AM,Run,Normal,7.00,miles,2904,,,Wave precision (blue),,,pound,,,,62,F,,,""
05/29/2008,2:00 PM,Run,Normal,6.00,miles,2490,,,Wave precision (blue),,,pound,,,,,F,,,""
05/30/2008,2:00 PM,Run,Normal,6.00,miles,2520,,,Wave precision (blue),,,pound,,,,,F,,,"out and back from applebees, turn around was the crosshairs on the dam trail"
06/01/2008,2:00 PM,Run,Normal,8.00,miles,3304,,,Wave precision (blue),,,pound,,,,,F,,,"last mile really taxed the legs"
06/02/2008,2:00 PM,Run,Normal,6.20,miles,2582,,,Wave precision (blue),,,pound,,,,,F,,,"2 200's strided out afterwards, felt slow and difficult to maintain speed"
06/03/2008,10:00 AM,Run,Normal,8.00,miles,3363,,,Wave precision (blue),,,pound,,,,,F,,,"standard 7, added on 1 mile, little pain behind right knee, but overall it felt really good"
06/04/2008,10:00 AM,Run,Normal,6.00,miles,2510,,,Wave precision (blue),,,pound,,,,,F,,,"dam run/lions park. felt good, wanted to keep going"
06/05/2008,2:00 PM,Run,Normal,6.50,miles,2652,,,Wave precision (blue),,,pound,,,,,F,,,"brooke's course, plus pleasant to featherstone hill, felt good!"
06/06/2008,2:00 PM,Run,Normal,7.00,miles,2919,,,Wave precision (blue),,,pound,,,,,F,,,"eddy street - pushed it a little bit - felt kinda tired. it was super windy and rained for a while"
06/07/2008,6:00 PM,Run,Normal,6.50,miles,2741,,,Wave precision (blue),,,pound,,,,,F,,2,"15 minute warmup, 2x5 mins threshold w/2 min recovery, cool down to the high school - 10k route plus recovery. thresh felt incredible. cruising"
06/08/2008,10:00 AM,Run,Normal,10.00,miles,4162,,,Wave precision (blue),,,pound,,,,,F,,,"nice, kinda stiff, just kept rollin"
06/09/2008,10:00 AM,Run,Normal,6.20,miles,2599,,,Wave precision (blue),,,pound,,,,,F,,,"kinda stiff, felt difficult... didnt so much enjoy this one, but i really wasn't focused"
06/10/2008,10:00 AM,Run,Normal,8.00,miles,3324,,,Wave precision (blue),,,pound,,,,,F,,,"crazy 8 - felt ok"
06/11/2008,10:00 AM,Run,Normal,7.00,miles,2991,,,Wave precision (blue),,,pound,,,,,F,,,"out and back but the damn train got in my way. easy, light, felt fine. it was raining and shitty though"
06/12/2008,8:00 PM,Run,Normal,5.50,miles,2132,,,Wave precision (blue),,,pound,,,,,F,,,""
06/13/2008,6:00 PM,Run,Normal,8.00,miles,3356,,,Wave precision (blue),,,pound,,,,,F,,,"crazy 8, felt fine"
06/14/2008,10:00 AM,Run,Normal,6.00,miles,2529,,,Wave precision (blue),,,pound,,,,,F,,,""
06/15/2008,2:00 PM,Run,Normal,10.00,miles,4180,,,Wave precision (blue),,,pound,,,,,F,,,""
06/16/2008,10:00 AM,Run,Normal,8.00,miles,3440,,,Wave precision (blue),,,pound,,,,,F,,,"crazy 8, felt like i was pushing the pace but apparenty not. it was windy, felt like i couldnt go faster"
06/17/2008,10:00 AM,Run,Normal,7.00,miles,2884,,,Wave precision (blue),,,pound,,,,,F,,,"2 mile wu, 4x3min TH w/ 2 min AR, 2 mile cooldown"
06/18/2008,10:00 AM,Run,Normal,6.20,miles,2582,,,Wave precision (blue),,,pound,,,,,F,,,""
06/18/2008,6:00 PM,Run,Normal,3.10,miles,1317,,,Wave precision (blue),,,pound,,,,,F,,,""
06/19/2008,10:00 AM,Run,Tempo,7.10,miles,2841,,,Wave precision (blue),,,pound,,,,,F,,,"2 mile warm up, 5k threshold, 2 mile cool down. felt like shit but whatev. just rolled with it."
06/20/2008,10:00 AM,Run,Normal,4.10,miles,1744,,,Wave precision (blue),,,pound,,,,,F,,,"4 miles. self explanatory."
06/21/2008,10:00 AM,Run,Race,4.00,miles,1335,,,,,,pound,,,,,F,,,"***RACE***
Race Name: farmington dew run 4 mile
Terrain: Road
Warm Up: 2 miles (14 mins)
Cool Down: 2 miles (14 mins)
Overall Place: 6th
Age Place: 3rd

hot... held in the lead pack of 4 for a good while then baumeester broke away and i felt sick for the last mile. opened in 5:07? if the first mile was marked right (the second wasn't) ended up running by myself in no man's land as always. coulda gone faster if i had someone to run with probably"
