Date,Time,Activity,Workout,Distance,Distance Unit,Duration,Course,Equipment Brand,Equipment Model,Equipment Serial,Weight,Weight Unit,Rest HR,Average HR,Max HR,Temperature,Temperature Unit,Quality,Effort,Notes
01/12/2005,2:00 PM,Run,Normal,500.00,miles,0,,,,,,pound,,,,,F,,,""
01/14/2007,2:00 PM,Run,Normal,500.00,miles,0,,,,,,pound,,,,,F,,,""
01/16/2007,2:00 PM,Run,Normal,500.00,miles,0,,,,,,pound,,,,,F,,,""
01/24/2007,2:00 PM,Run,Normal,500.00,miles,0,,,,,,pound,,,,,F,,,""
01/19/2008,2:00 PM,Run,Normal,500.00,miles,0,,,,,,pound,,,,,F,,,""
01/01/2009,2:00 PM,Run,Normal,274.00,miles,0,,,,,,pound,,,,,F,,,""
01/07/2009,2:00 PM,Run,Normal,500.00,miles,0,,,,,,pound,,,,,F,,,""
01/08/2009,2:00 PM,Run,Normal,500.00,miles,0,,,,,,pound,,,,,F,,,""
01/16/2009,2:00 PM,Run,Normal,500.00,miles,0,,,,,,pound,,,,,F,,,""
01/22/2009,2:00 PM,Run,Normal,500.00,miles,0,,,,,,pound,,,,,F,,,""
01/30/2009,2:00 PM,Run,Normal,500.00,miles,0,,,,,,pound,,,,,F,,,""
05/20/2009,2:00 PM,Run,Normal,500.00,miles,0,,,,,,pound,,,,,F,,,""
01/06/2010,2:00 PM,Run,Normal,500.00,miles,0,,,,,,pound,,,,,F,,,""
01/09/2010,2:00 PM,Run,Normal,500.00,miles,0,,,,,,pound,,,,,F,,,""
04/08/2010,2:00 PM,Run,Normal,500.00,miles,0,,,,,,pound,,,,,F,,,""
01/05/2011,2:00 PM,Run,Normal,500.00,miles,0,,,,,,pound,,,,,F,,,""
05/04/2011,2:00 PM,Run,Normal,500.00,miles,0,,,,,,pound,,,,,F,,,""
12/08/2011,2:00 PM,Run,Normal,500.00,miles,0,,,,,,pound,,,,,F,,,""
12/09/2011,2:00 PM,Run,Normal,500.00,miles,0,,,,,,pound,,,,,F,,,""
12/21/2011,2:00 PM,Run,Normal,500.00,miles,0,,,,,,pound,,,,,F,,,""
12/22/2011,2:00 PM,Run,Normal,500.00,miles,0,,,,,,pound,,,,,F,,,""
12/23/2011,2:00 PM,Run,Normal,500.00,miles,0,,,,,,pound,,,,,F,,,""
12/24/2011,2:00 PM,Run,Normal,500.00,miles,0,,,,,,pound,,,,,F,,,""
12/25/2011,2:00 PM,Run,Normal,500.00,miles,0,,,,,,pound,,,,,F,,,""
12/26/2011,2:00 PM,Run,Normal,500.00,miles,0,,,,,,pound,,,,,F,,,""
12/27/2011,2:00 PM,Run,Normal,500.00,miles,0,,,,,,pound,,,,,F,,,""
