Date,Time,Activity,Workout,Distance,Distance Unit,Duration,Course,Equipment Brand,Equipment Model,Equipment Serial,Weight,Weight Unit,Rest HR,Average HR,Max HR,Temperature,Temperature Unit,Quality,Effort,Notes
02/09/2008,2:00 PM,Run,Race,3.00,kilometers,519.1,,,,,,pound,,,,,F,,,"***RACE***
Terrain: Not Specified"
02/09/2008,2:00 PM,Run,Normal,0.00,miles,0,,,,,,pound,,,,,F,,,""
02/22/2008,2:00 PM,Run,Race,1.00,miles,258.69,,,,,,pound,,,,,F,,,"***RACE***
Race Name: U of Minnesota
Terrain: Not Specified"
02/22/2008,2:00 PM,Run,Normal,0.00,miles,0,,,,,,pound,,,,,F,,,""
02/25/2008,2:00 PM,Run,Normal,7.00,miles,2940,,,,,,pound,,,,,F,,,"Ran with Beds, I felt good. Wore shorts today!"
02/26/2008,10:00 AM,Run,Normal,6.00,miles,2400,,,,,,pound,,,,,F,,,""
02/26/2008,2:00 PM,Run,Normal,8.00,miles,3000,,,,,,pound,,,,,F,,,"9 by 400 in 67, 67, 66, 63, 64, 64, 59, 59, 61. I felt ok."
02/27/2008,10:00 AM,Run,Normal,6.00,miles,2520,,,,,,pound,,,,,F,,,""
02/27/2008,2:00 PM,Run,Normal,8.00,miles,3120,,,,,,pound,,,,,F,,,"4 by 50 meter flys, then 3 by 200 in 28.3, 27.9, 27.8. Didnt feel very springy."
02/28/2008,10:00 AM,Run,Normal,6.00,miles,2460,,,,,,pound,,,,,F,,,""
02/28/2008,2:00 PM,Run,Normal,8.00,miles,3240,,,,,,pound,,,,,F,,,"Ran along the mississippi. Felt pretty good but it was snowing and i couldnt see so it sucked."
02/29/2008,10:00 AM,Run,Normal,5.00,miles,2100,,,,,,pound,,,,,F,,,""
02/29/2008,2:00 PM,Run,Normal,5.00,miles,2100,,,,,,pound,,,,,F,,,"Ran the 800 in 1:59, splits were 58.5 and 60.5. I coulda done better."
02/29/2008,2:00 PM,Run,Race,800.00,meters,119.11,,,,,,pound,,,,,F,,,"***RACE***
Terrain: Not Specified"
02/29/2008,2:00 PM,Run,Normal,0.00,miles,0,,,,,,pound,,,,,F,,,""
03/01/2008,2:00 PM,Run,Normal,13.00,miles,5160,,,,,,pound,,,,,F,,,"Ran with Carl...started out at around 6 min pace just because i was pissed. Ended up feeling terrible at about 8 miles and slowed down big time."
03/02/2008,10:00 AM,Run,Normal,9.00,miles,3780,,,,,,pound,,,,,F,,,"Ran by myself today. I started out really easy and picked it up a little at the end."
03/03/2008,2:00 PM,Run,Normal,8.00,miles,3240,,,,,,pound,,,,,F,,,"Felt great, Beds ran the first 2 miles with me."
