Date,Time,Activity,Workout,Distance,Distance Unit,Duration,Course,Equipment Brand,Equipment Model,Equipment Serial,Weight,Weight Unit,Rest HR,Average HR,Max HR,Temperature,Temperature Unit,Quality,Effort,Notes
05/23/2009,2:00 PM,Run,Weekly Total,39.30,miles,0,,,,,,pound,,,,,F,,,""
05/30/2009,12:00 PM,Run,Normal,44.60,miles,0,,,,,,pound,,,,,F,,,"long run of 9.8"
06/06/2009,12:00 PM,Run,Normal,51.10,miles,0,,,,,,pound,,,,,F,,,"long of 13.2"
06/13/2009,10:00 AM,Run,Race,5.00,kilometers,1025,,,,,,pound,,,,,F,,,"***RACE***
Race Name: Run For the Poor
Terrain: Road
Warm Up: 3 mi
Race Splits: 5:35, 5:37, 5:15-20(?)
Cool Down: 2 mi
Overall Place: 1st
Age Place: 1st

first race and first win in my meter's and miles uni. surged to drop two competitors at the 1 mile mark and ran alone from there. pretty easy win"
06/13/2009,10:00 AM,Run,Normal,0.00,kilometers,0,,,,,,pound,,,,,F,,8,""
06/13/2009,12:00 PM,Run,Weekly Total,32.00,miles,0,,,,,,pound,,,,,F,,,"down week. long of 8. race on sat not included"
06/20/2009,2:00 PM,Run,Weekly Total,55.00,miles,0,,,,,,pound,,,,,F,,,"long of just under 12"
06/21/2009,6:00 PM,Run,Easy,5.20,miles,2190,,,,,150,pound,,,,,F,,3,"2.2 miles on road then 3 on grass"
06/22/2009,6:00 PM,Run,Easy,8.10,miles,3453,,,,,,pound,,,,85,F,,,"felt okay. i can tell that i really need new shoes so i should take care of that tomorrow morning. hit the end of 52 then took a quick stretch and dynamics break because i was feeling tight."
06/23/2009,10:00 AM,Run,wu/cd,2400.00,meters,627,,,,,,pound,,,,,F,,,"3 lap warmup, 2 lap cooldown"
06/23/2009,10:00 AM,Run,Easy,4.10,miles,1685,,,,,,pound,,,,,F,,,"with brads group. split off from the group with pete miller and added on. didn't get very good sleep night before. woke up at 4 and couldn't get back to sleep so i had to read until i got tired again. got woken up again at 7 then slept until 7:45. not too tired today, but i can tell that i didn't get as much sleep as i would have liked. run felt fine. we were cruising. did 6x50 meter explosions afterward for a little leg speed and turnover. meters and miles doesn't have the defyance right now but brad will have a pair for me tomorrow. probably run 3 or 4 barefoot on the soccer fields tonight, because i can't squeeze any more out of these shoes."
06/23/2009,6:00 PM,Run,Easy,5.33,miles,2186,,,,,152,pound,,,,79,F,,3,"barefoot on soccer field. one loop is approx. 2/3rds of a mile. started out really tight but loosened up really quickly. loop splits were 9:25 for the first 2, then 4:34, 4:35, 4:31, 4:30, 4:26, 4:23. felt really smooth. even though i've been a little tired, i've really been feeling like picking it up a little lately, so i attacked the small hill from the lower fields to the upper fields each time. 8 loops total, figure 8 style, switching directions after 4.

Cross Training Comments:
shoulders (up in front and to the sides), pull downs, hip abductors and adductors, chest press, row, pull ups, dips, incline situps, back extensions (on equipment), and oblique extensions (on equipment). increases reps on shouders and pull downs and weight on pull downs."
06/24/2009,6:00 PM,Run,Fartlek,5.08,miles,1915,,,,,,pound,,,,86,F,,6,"decided i wanted to pick the pace up a little bit today. threw on the flats and went out for a fartlek. started out with 3 mins easy, then started 1 min hard, 1 min easy. kept the easy parts at normal easy run pace (around 7/mi). last easy segment brought me to greys lane. ran last half mile from there easy. my guess would be that hard part was around 5:40, although if my math is right it comes out around 5:25 for 2.22 assuming that the rest was at 7 min pace. felt pretty good"
06/25/2009,2:00 PM,Run,Easy,2.80,miles,1179,,,,,,pound,,,,,F,,,"with brads group. one mile warmup on track, high knees, butt kickers, karaoke, lunges, little more than one mile to the steps, quick steps, two-footed bounds, one-footed bounds, lunges, jog back to total 2.8 (not counting steps as mileage). need a second run tonight"
