Date,Time,Activity,Workout,Distance,Distance Unit,Duration,Course,Equipment Brand,Equipment Model,Equipment Serial,Weight,Weight Unit,Rest HR,Average HR,Max HR,Temperature,Temperature Unit,Quality,Effort,Notes
05/23/2010,2:00 PM,Run,Easy,6.00,miles,0,,,,,,pound,,,,,F,,3,"Run w/ Schwock."
05/24/2010,2:00 PM,Run,Easy,5.00,miles,0,,,,,,pound,,,,,F,,3,"Easy run in the Natural Lands with Schwock."
05/25/2010,2:00 PM,Run,Endurance,7.00,miles,0,,,,,,pound,,,,,F,,2,"ABR.

Cross Training Comments:
16x Drink."
05/27/2010,2:00 PM,Run,Normal,4.00,miles,0,,,,,,pound,,,,,F,,4,"Run with Schwock and Anders. Cross Campus. The dirty Carls ate up my fake hitting of the sign."
05/29/2010,2:00 PM,Run,Easy,7.00,miles,0,,,,,,pound,,,,,F,,6,"HOT. Humid. Silly Rosemount."
05/30/2010,10:00 AM,Run,Easy,7.00,miles,0,,,,,,pound,,,,,F,,6,"Run with THE CHRIS (SOPHIE) MASSEY. Boom. Fuckin' suburbia to the max in Rosemount."
05/31/2010,2:00 PM,Run,Easy,9.00,miles,0,,,,,,pound,,,,,F,,4,"Easy, Arb, Still at Olaf. Cookout to follow."
06/01/2010,12:00 PM,Rest,Normal,0.00,miles,0,,,,,,pound,,,,,F,,,"Schwock visits with homemade pizza. Bomb evening...but no running."
06/02/2010,10:00 AM,Run,Recovery/Taper,4.00,miles,0,,,,,,pound,,,,,F,,5,"Recovering from a night of drinking and running around campus with Schwock and StoGrow."
06/02/2010,2:00 PM,Run,Easy,8.00,miles,0,,,,,,pound,,,,,F,,4,"Easy, first double. Do it to it."
06/03/2010,10:00 AM,Run,Long,12.00,miles,0,,,,,,pound,,,,,F,,6,"Long run with Schwock (for 8 miles), pounding some out that last bit. Get some shit out/done. Eggs n Bacon afterwards."
06/04/2010,2:00 PM,Run,Easy,8.00,miles,0,,,,,,pound,,,,,F,,5,"Way too humid. Allergies are starting to fuck with me. Shit."
06/05/2010,10:00 AM,Run,Easy,8.00,miles,0,,,,,,pound,,,,,F,,4,"Nice n' easyish. Fine. Fine. Fine."
06/05/2010,8:00 PM,Run,Hard,4.00,miles,0,,,,,,pound,,,,57,F,,7,"Hard. Fast. Fuck. Get some shit out. FUck."
06/06/2010,2:00 PM,Run,Easy,9.00,miles,0,,,,,,pound,,,,,F,,4,"Run with Mixer. Talked about tons of stuff. Didn't stop talking."
06/07/2010,8:00 PM,Run,Easy,9.00,miles,0,,,,,,pound,,,,,F,,4,"Dark night run, cool, and awesome. Bagels to follow."
06/08/2010,10:00 AM,Run,Medium,10.00,miles,0,,,,,,pound,,,,,F,,5,"Run in the rain in the morning is preferable to a BJ from Stretch in the morning (most of the time)."
06/09/2010,2:00 PM,Run,Long,14.00,miles,5665,,,,,,pound,,,,88,F,,6,"Boom, Hot, Windy, excellent."
06/10/2010,2:00 PM,Run,Normal,8.00,miles,0,,,,,,pound,,,,,F,,6,""
06/11/2010,10:00 AM,Run,Easy,9.00,miles,0,,,,,,pound,,,,,F,,4,"Easy 5:20am morning run with Mixer. Way too early, but beat the humidity."
06/12/2010,10:00 AM,Run,Easy,7.00,miles,0,,,,,,pound,,,,,F,,5,"Felt aweful. Way too tired. I need to move to the Southwest."
06/12/2010,8:00 PM,Run,Normal,4.00,miles,0,,,,,,pound,,,,,F,,4,"Pretty quick. Felt good. Next week starts week one of the 3 on 1 off rotation.."
06/13/2010,2:00 PM,Run,Medium,11.00,miles,0,,,,,,pound,,,,,F,,7,"Somehow I gained 5 lbs. this week. Probably due to the good eating/desserts I've been having. Nevertheless...Felt great, relaxed, pretty fast. However, My lower back is very very tight. I'm beginning to think I'm feeling like Dobuol. To remedy my back problems should I:

a. Contact a professional masseur
b. Get a girlfriend to work it out
c. Get a boyfriend to work it out
d. Drink more Mountain Dew"
06/14/2010,2:00 PM,Run,Normal,11.00,miles,0,,,,,,pound,,,,,F,,6,"Felt not so great... but that's a'ight. Got rolling alright after 4 miles...but then the last 2 were terrible."
